State,ScaleBar,text,year,month
UT,-2.25,UT: -2.2,2018,10
VA,1.2083333333333333,VA: 1.2,2018,10
VT,-0.5,VT: -0.5,2018,10
WA,-0.13333333333333333,WA: -0.1,2018,10
WI,1.0,WI: 1.0,2018,10
WV,1.0,WV: 1.0,2018,10
WY,0.125,WY: 0.1,2018,10
AK,0.14285714285714285,AK: 0.1,2018,11
AL,-0.3333333333333333,AL: -0.3,2018,11
AR,0.0,AR: 0.0,2018,11
AZ,-0.7142857142857143,AZ: -0.7,2018,11
CA,-1.6538461538461537,CA: -1.7,2018,11
CAN,0.24,CAN: 0.2,2018,11
CO,-1.7209302325581395,CO: -1.7,2018,11
CT,1.6666666666666667,CT: 1.7,2018,11
DE,1.2,DE: 1.2,2018,11
FL,-1.1666666666666667,FL: -1.2,2018,11
GA,0.3333333333333333,GA: 0.3,2018,11
IA,0.75,IA: 0.8,2018,11
ID,-0.5,ID: -0.5,2018,11
IL,0.5918367346938775,IL: 0.6,2018,11
IN,0.8529411764705882,IN: 0.9,2018,11
KS,0.13043478260869565,KS: 0.1,2018,11
KY,0.8888888888888888,KY: 0.9,2018,11
LA,1.0,LA: 1.0,2018,11
MA,1.3333333333333333,MA: 1.3,2018,11
MD,2.1818181818181817,MD: 2.2,2018,11
ME,0.6,ME: 0.6,2018,11
MI,1.28,MI: 1.3,2018,11
MN,0.2857142857142857,MN: 0.3,2018,11
MO,0.6666666666666666,MO: 0.7,2018,11
MS,1.3333333333333333,MS: 1.3,2018,11
MT,1.0,MT: 1.0,2018,11
NC,1.0307692307692307,NC: 1.0,2018,11
ND,0.75,ND: 0.8,2018,11
NE,0.0,NE: 0.0,2018,11
NH,1.2727272727272727,NH: 1.3,2018,11
NJ,1.3333333333333333,NJ: 1.3,2018,11
NM,-0.8297872340425532,NM: -0.8,2018,11
NV,-1.5,NV: -1.5,2018,11
NY,1.1896551724137931,NY: 1.2,2018,11
OH,1.7857142857142858,OH: 1.8,2018,11
OK,1.25,OK: 1.2,2018,11
OR,-0.8076923076923077,OR: -0.8,2018,11
PA,2.0384615384615383,PA: 2.0,2018,11
RI,1.7142857142857142,RI: 1.7,2018,11
SC,0.975,SC: 1.0,2018,11
TN,1.5714285714285714,TN: 1.6,2018,11
TX,1.0533333333333332,TX: 1.1,2018,11
UT,-2.5,UT: -2.5,2018,11
VA,1.2916666666666667,VA: 1.3,2018,11
VT,0.6,VT: 0.6,2018,11
WA,0.47058823529411764,WA: 0.5,2018,11
WI,0.6428571428571429,WI: 0.6,2018,11
WV,1.8333333333333333,WV: 1.8,2018,11
WY,0.0,WY: 0.0,2018,11
AK,0.0,AK: 0.0,2018,12
AL,2.0,AL: 2.0,2018,12
AR,-1.0,AR: -1.0,2018,12
AZ,-1.0,AZ: -1.0,2018,12
CA,0.6521739130434783,CA: 0.7,2018,12
CAN,-0.175,CAN: -0.2,2018,12
CO,-1.9444444444444444,CO: -1.9,2018,12
CT,1.7222222222222223,CT: 1.7,2018,12
DE,1.0,DE: 1.0,2018,12
FL,-0.8709677419354839,FL: -0.9,2018,12
GA,1.4615384615384615,GA: 1.5,2018,12
IA,0.875,IA: 0.9,2018,12
ID,0.0,ID: 0.0,2018,12
IL,0.6046511627906976,IL: 0.6,2018,12
IN,0.9583333333333334,IN: 1.0,2018,12
KS,0.47619047619047616,KS: 0.5,2018,12
KY,0.9,KY: 0.9,2018,12
