State,ScAlabamaeBArkansas,text,yeArkansas,month
West Virginia,1.214285714,WV: 1.2,2018,6
Wyoming,0.363636364,WY: 0.4,2018,6
Alaska,-1,Alaska: -1.0,2018,7
Alabama,-1.52173913,Alabama: -1.5,2018,7
Arkansas,-1.571428571,Arkansas: -1.6,2018,7
Arizona,-1.315789474,Arizona: -1.3,2018,7
California,-1.48,CA: -1.5,2018,7
CAN,-1.052238806,CAN: -1.1,2018,7
Colorado,-1.916666667,CO: -1.9,2018,7
Connecticut,-0.692307692,CT: -0.7,2018,7
Delaware,-1,DE: -1.0,2018,7
Florida,0.256756757,FL: 0.3,2018,7
Georgia,0.444444444,GA: 0.4,2018,7
Iowa,-0.818181818,IA: -0.8,2018,7
Idaho,-2.142857143,ID: -2.1,2018,7
Illinois,-0.388888889,IL: -0.4,2018,7
Indiana,-0.833333333,IN: -0.8,2018,7
Kansas,-0.96969697,KS: -1.0,2018,7
Kentucky,-1.142857143,KY: -1.1,2018,7
Louisiana,-0.5,LA: -0.5,2018,7
Massachusetts,-1,MA: -1.0,2018,7
Maryland,-1,MD: -1.0,2018,7
Maine,-0.708333333,ME: -0.7,2018,7
Michigan,-1.310344828,MI: -1.3,2018,7
Minnesota,0.642857143,MN: 0.6,2018,7
Missouri,-1.78125,MO: -1.8,2018,7
Mississippi,-0.714285714,MS: -0.7,2018,7
Montana,0,MT: 0.0,2018,7
North Carolina,-0.373737374,NC: -0.4,2018,7
North Dakota,-0.666666667,ND: -0.7,2018,7
Nebraska,0.5,NE: 0.5,2018,7
New Hampshire,-1.666666667,NH: -1.7,2018,7
New Jersey,-0.294117647,NJ: -0.3,2018,7
New Mexico,-1.802469136,NM: -1.8,2018,7
Nevada,-0.333333333,NV: -0.3,2018,7
New York,-0.929824561,NY: -0.9,2018,7
Ohio,-0.56,OH: -0.6,2018,7
Oklahoma,-0.894736842,OK: -0.9,2018,7
Oregon,-1.75,OR: -1.8,2018,7
Pennsylvania,-0.172413793,PA: -0.2,2018,7
Rhode Island,-1.857142857,RI: -1.9,2018,7
South Carolina,-0.224489796,SC: -0.2,2018,7
South Dakota,-0.545454545,SD: -0.5,2018,7
